개발 구분,구분,대분류,중분류,소분류,화면명,설명,사용자플로우,정보구조,접근방식,상태관리,비고
1차,4,마이페이지 탭,프로필,프로필수정,프로필 수정,사용자 프로필 정보 수정,마이페이지 → 프로필수정 → 정보 수정,사용자 프로필,폼 입력,수정 중,기본 CRUD
1차,4,마이페이지 탭,리뷰,리뷰 관리,내 리뷰 목록,내가 작성한 리뷰 목록,마이페이지 → 리뷰 → 내 리뷰 목록,리뷰 데이터,리스트 표시,리뷰 상태 관리,리뷰 관리
1차,4,마이페이지 탭,문의,1:1문의,1:1 문의,고객센터 1:1 문의,마이페이지 → 1:1문의 → 문의 작성,1:1 문의,폼 입력,문의 중,문의 시스템
1차,4,마이페이지 탭,문의,문의 내역,문의 내역,내가 보낸 문의 목록 확인,마이페이지 → 1:1문의 → 문의 내역,문의 데이터,리스트 표시,문의 상태 관리,문의 관리
1차,4,마이페이지 탭,고객지원,FAQ,FAQ,자주 묻는 질문,마이페이지 → FAQ → 질문 목록,FAQ,목록 표시,FAQ 표시,기본 기능
1차,4,마이페이지 탭,고객지원,신고하기,신고하기,부적절한 콘텐츠 신고,해당 콘텐츠 → 신고 버튼 → 신고 사유 선택,신고 데이터,폼 입력,신고 중,신고 시스템
1차,4,마이페이지 탭,설정,알림설정,알림 설정,푸시 알림 on/off 설정,마이페이지 → 알림설정 → 알림 설정,알림 설정,토글 스위치,설정 중,기본 기능
1차,4,마이페이지 탭,설정,이용약관,서비스 이용 약관,서비스 이용 약관 동의,마이페이지 → 이용약관 → 약관 확인,이용 약관,약관 표시,약관 확인,법적 요구사항
1차,4,마이페이지 탭,설정,개인정보,개인 정보 처리 방침,개인정보 처리 방침,마이페이지 → 개인정보 → 개인정보 처리 방침,개인정보 처리 방침,약관 표시,약관 확인,법적 요구사항
1차,4,마이페이지 탭,설정,위치서비스,위치 기반 서비스 약관,위치 기반 서비스 약관,마이페이지 → 위치서비스 → 위치 서비스 약관,위치 서비스 약관,약관 표시,약관 확인,법적 요구사항
1차,4,마이페이지 탭,설정,로그아웃,로그아웃,계정에서 로그아웃,마이페이지 → 설정 → 로그아웃,로그아웃 상태,확인 모달,로그아웃 중,기본 기능
1차,4,마이페이지 탭,설정,회원탈퇴,회원탈퇴,계정 삭제,마이페이지 → 설정 → 회원탈퇴,탈퇴 상태,확인 화면,탈퇴 중,계정 삭제
1차,7,푸시 알림,앱 자체 푸시,커뮤니티 알림,커뮤니티 푸시 알림,디스코드/공지사항/이벤트 관련 주요 알림을 앱 푸시로 제공,운영진 알림 등록 → 서버 푸시 API 호출 → 앱에서 알림 수신,알림 DB,푸시 API,알림 상태 관리,중요 공지 및 커뮤니티 소식 전달
1차,7,푸시 알림,앱 자체 푸시,맞춤 알림 설정,푸시 알림 설정,사용자가 푸시 알림 종류(예약 커뮤니티 이벤트)를 개별 on/off 설정,마이페이지 → 알림 설정 → 푸시 알림 on/off 토글,사용자 프로필 알림 DB,토글 스위치,사용자별 알림 상태,알림 설정 기능
